user_id,item_id,rating,timestamp
0,8,4.6,220000
2,276,4.7,37000
2,197,4.8,51000
1,437,4.5,4200
0,78,4.8,150000
1,143,4.7,21000
2,107,4.7,340000
0,413,4.7,91000
0,281,4.7,110000
1,551,4.9,180000
2,737,4.8,22000
0,142,4.7,22000
1,131,4.8,14000
1,877,4.9,10000
0,247,4.5,78000
1,468,4.8,9200
0,201,4.8,71000
3,605,4.8,24000
2,848,4.8,51000
0,846,4.9,12000
0,54,4.8,350000
2,457,4.6,4800
2,305,4.8,43000
3,783,4.7,19000
1,512,4.8,200000
0,828,4.5,13000
2,458,4.8,56000
0,302,4.8,36000
1,96,4.7,110000
0,151,4.6,270000
1,493,4.8,91000
2,21,4.9,220000
1,719,4.7,31000
2,161,4.7,30000
0,212,4.7,40000
1,688,4.9,15000
0,266,4.7,29000
3,764,4.8,23000
3,821,4.2,140000
3,820,4.6,5500
3,248,4.6,17000
2,793,4.7,150000
2,275,4.8,32000
1,106,4.9,210000
1,642,4.6,180000
0,488,4.8,2400
1,645,4.9,9500
3,372,4.5,99000
1,462,4.6,1600
0,508,4.8,20000
0,663,4.5,11000
1,498,4.5,8800
0,838,4.8,23000
2,725,4.8,10000
1,456,4.6,2300
2,23,4.5,160000
0,491,4.6,97000
2,536,4.6,82000
1,238,4.6,26000
3,800,4.8,55000
2,777,4.5,37000
0,561,4.7,220000
1,573,4.5,3900
3,383,4.7,42000
2,544,4.8,43000
3,497,4.6,23000
1,251,4.6,68000
0,612,4.6,2900
3,22,4.6,120000
1,809,4.7,4200
0,75,4.7,94000
0,58,4.7,61000
2,391,4.6,5800
2,439,4.3,66000
0,330,4.8,9200
2,59,4.6,140000
0,324,4.5,35000
1,590,4.7,9700
2,890,4.9,6400
2,349,4.4,110000
1,738,4.7,77000
0,129,4.7,12000
2,474,4.7,350000
1,888,4.2,6600
2,273,4.5,27000
3,812,4.4,100000
2,709,4.7,15000
0,635,4.8,320000
1,610,4.3,24000
1,452,4.8,31000
1,486,4.7,84000
2,718,4.7,23000
1,782,4.8,33000
2,95,4.7,57000
2,726,4.7,19000
1,824,4.5,67000
1,653,4.5,7300
2,290,4.8,43000
0,157,4.4,320000
2,854,4.8,15000
0,26,4.5,480000
2,179,4.8,81000
2,714,4.8,7800
0,874,4.5,130000
0,853,4.7,21000
1,651,4.6,15000
2,233,4.5,67000
2,358,4.7,46000
1,7,4.7,510000
0,797,4.8,8100
0,637,4.7,42000
2,525,4.7,130000
1,479,4.8,79000
0,514,4.8,11000
2,371,4.7,120000
1,672,4.8,61000
0,103,4.5,190000
4,198,4.6,89000
1,602,4.8,29000
1,884,4.6,5800
2,539,4.8,48000
0,43,4.6,130000
0,861,4.7,27000
2,448,4.6,26000
2,621,4.6,27000
0,134,4.7,5300
4,399,4.5,140000
3,678,4.8,26000
1,565,4.4,88000
2,736,4.8,31000
0,242,4.8,14000
2,406,4.7,43000
0,631,4.3,11000
2,655,4.7,120000
2,48,4.7,61000
0,661,4.7,39000
1,776,4.7,6500
2,300,4.7,220000
2,207,4.9,240000
3,24,4.6,120000
3,277,4.7,110000
2,463,4.3,140000
2,815,4.8,49000
1,816,4.6,13000
0,752,4.6,7900
2,478,4.7,10000
1,611,4.7,38000
1,410,4.7,13000
1,294,4.7,28000
2,222,4.7,36000
0,119,4.8,30000
1,395,4.9,95000
1,687,4.6,35000
0,63,4.7,540000
3,566,4.7,18000
1,269,4.4,55000
4,15,4.6,740000
1,168,4.7,120000
1,210,4.6,56000
2,691,4.6,75000
0,604,4.5,80000
2,221,4.8,33000
1,751,4.8,1900
1,17,4.6,280000
1,56,4.9,150000
0,390,4.5,120000
1,72,4.9,57000
1,753,4.7,66000
0,51,4.7,110000
3,679,4.4,3000
2,728,4.7,19000
2,450,4.8,32000
0,727,4.8,9900
2,104,4.7,89000
1,885,4.8,7300
3,730,4.8,22000
0,283,4.6,4000
1,126,4.7,24000
3,39,4.6,220000
2,794,4.8,15000
1,10,4.7,310000
0,743,4.7,17000
0,265,4.7,69000
2,662,4.5,31000
0,819,4.7,6600
2,301,4.6,10000
0,159,4.8,23000
0,799,4.6,63000
1,702,4.7,22000
0,630,4.6,150000
0,322,4.9,18000
1,326,4.8,15000
0,825,4.8,14000
2,44,4.4,790000
4,13,4.5,830000
1,670,4.5,22000
0,482,4.7,69000
3,434,4.4,140000
0,35,4.7,13000
2,9,4.7,310000
5,381,4.7,58000
4,148,4.4,210000
7,89,4.7,140000
7,442,4.8,9700
8,650,4.7,47000
8,734,4.6,59000
7,115,4.7,10000
5,624,4.8,5600
8,141,4.6,260000
7,162,4.8,290000
7,174,4.7,42000
7,16,4.5,260000
6,870,4.8,12000
5,832,4.8,7100
7,286,4.8,140000
5,789,5.0,1500
5,494,4.8,18000
9,835,4.6,37000
7,705,4.6,47000
7,396,4.5,10000
8,411,4.6,18000
5,773,4.9,3400
6,704,4.7,31000
7,569,4.2,27000
6,560,4.7,23000
7,863,4.7,45000
7,475,4.8,22000
4,70,4.5,96000
7,124,4.8,56000
7,419,4.8,39000
5,338,4.6,16000
5,166,4.7,110000
7,32,4.8,89000
7,158,4.6,100000
4,100,4.6,240000
7,698,4.8,52000
5,697,4.9,40000
9,513,4.7,10000
5,397,4.7,54000
8,568,4.5,73000
4,804,4.8,60000
7,218,4.9,76000
7,521,4.8,3200
6,444,4.8,7200
9,761,4.6,3600
8,192,4.6,79000
6,693,4.5,1800
9,369,4.6,56000
4,686,4.7,130000
7,109,4.7,36000
5,711,4.9,21000
6,454,4.7,14000
7,382,4.8,24000
6,502,4.6,69000
5,392,4.6,150000
7,441,4.6,30000
9,4,4.8,350000
6,351,4.6,130000
5,636,4.9,46000
6,461,4.8,14000
9,287,4.8,260000
6,60,4.7,31000
6,175,4.8,760000
7,742,4.6,25000
6,122,4.8,110000
7,847,4.7,27000
7,257,4.8,69000
8,681,4.5,59000
7,209,4.8,64000
7,520,4.5,81000
5,855,4.5,21000
7,150,4.7,220000
7,313,4.7,31000
4,806,4.7,4500
7,633,4.6,180000
7,851,4.9,4400
5,720,4.6,8000
6,547,4.6,42000
7,92,4.9,200000
6,347,4.7,83000
7,38,4.6,490000
6,733,4.6,17000
7,790,4.8,170000
7,149,4.7,76000
6,708,4.8,35000
4,263,4.7,110000
9,385,4.7,430000
5,641,4.7,110000
5,490,4.5,35000
4,871,4.7,18000
6,598,4.8,110000
4,288,4.5,140000
8,79,4.8,97000
9,740,4.8,7600
8,76,4.4,80000
8,400,4.7,29000
9,710,4.7,62000
8,802,4.7,14000
8,643,4.5,10000
6,319,4.8,31000
7,66,4.6,20000
7,682,4.8,12000
9,757,4.8,210000
7,108,4.7,150000
9,849,4.7,36000
6,623,4.8,20000
7,531,4.6,13000
7,453,4.7,12000
8,538,4.9,22000
7,259,4.5,60000
7,99,4.8,180000
8,206,4.7,100000
5,18,4.7,300000
7,775,4.8,62000
6,446,4.7,68000
5,522,4.7,97000
5,852,4.4,57000
5,342,4.6,39000
9,329,4.8,240000
7,165,4.6,110000
7,77,4.7,120000
5,139,4.7,67000
6,613,4.6,200000
5,756,4.8,41000
8,567,4.8,34000
7,278,4.9,86000
7,137,4.5,170000
7,880,4.8,28000
7,113,4.9,400000
4,5,4.8,690000
4,627,4.4,8200
6,246,4.8,86000
6,267,4.7,37000
7,145,4.8,9400
5,430,4.6,19000
7,581,4.7,49000
7,857,4.6,56000
7,164,4.8,200000
9,227,4.6,120000
6,225,4.8,230000
6,496,4.8,38000
6,527,4.8,45000
6,426,4.7,6400
4,420,4.6,66000
6,564,4.7,57000
5,674,4.6,17000
6,770,4.4,2400
7,356,4.7,6500
9,25,4.7,93000
7,388,4.8,110000
8,268,4.8,110000
7,366,4.6,30000
7,337,4.8,14000
5,229,4.9,83000
7,370,4.6,4900
7,721,4.8,63000
7,425,4.8,86000
8,540,4.7,14000
5,239,4.4,9000
7,102,4.8,57000
6,303,4.8,130000
4,813,4.6,31000
5,675,4.6,4000
4,519,4.8,150000
6,570,4.7,23000
8,578,4.6,22000
9,355,4.6,3800
7,295,4.6,39000
5,53,4.7,140000
5,378,4.8,130000
5,644,4.8,4000
5,237,4.6,37000
7,256,4.8,11000
7,415,4.7,18000
7,418,4.8,54000
7,552,4.8,310000
7,130,4.7,20000
8,694,4.3,19000
7,724,4.7,150000
7,203,4.6,26000
9,717,4.8,44000
4,599,4.8,44000
7,85,4.8,65000
6,33,4.8,110000
7,778,4.4,12000
6,314,4.8,4100
